Name,Link,Information
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,"{'Price': '£40.30', 'Category': 'Nonfiction', 'Rating': 'Five stars', 'Availability': 'In stock (18 available)'}"
Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,"{'Price': '£44.18', 'Category': 'Art', 'Rating': 'Four stars', 'Availability': 'In stock (18 available)'}"
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,"{'Price': '£22.50', 'Category': 'Default', 'Rating': 'Three stars', 'Availability': 'In stock (19 available)'}"
Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,"{'Price': '£34.53', 'Category': 'Romance', 'Rating': 'Five stars', 'Availability': 'In stock (19 available)'}"
Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,"{'Price': '£25.27', 'Category': 'Romance', 'Rating': 'Five stars', 'Availability': 'In stock (19 available)'}"
Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,"{'Price': '£54.64', 'Category': 'Childrens', 'Rating': 'Three stars', 'Availability': 'In stock (19 available)'}"
Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,"{'Price': '£53.13', 'Category': 'Default', 'Rating': 'Three stars', 'Availability': 'In stock (19 available)'}"
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"{'Price': '£30.52', 'Category': 'Food and Drink', 'Rating': 'Three stars', 'Availability': 'In stock (19 available)'}"
How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html,"{'Price': '£37.32', 'Category': 'Music', 'Rating': 'Two stars', 'Availability': 'In stock (19 available)'}"
In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,"{'Price': '£12.84', 'Category': 'Thriller', 'Rating': 'One stars', 'Availability': 'In stock (19 available)'}"
You can't bury them all: Poems,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,"{'Price': '£33.63', 'Category': 'Poetry', 'Rating': 'Two stars', 'Availability': 'In stock (17 available)'}"
Behind Closed Doors,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,"{'Price': '£52.22', 'Category': 'Thriller', 'Rating': 'Four stars', 'Availability': 'In stock (18 available)'}"
"In a Dark, Dark Wood",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,"{'Price': '£19.63', 'Category': 'Mystery', 'Rating': 'One stars', 'Availability': 'In stock (18 available)'}"
Maude (1883-1993):She Grew Up with the country,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,"{'Price': '£18.02', 'Category': 'Default', 'Rating': 'Two stars', 'Availability': 'In stock (18 available)'}"
Penny Maybe,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,"{'Price': '£33.29', 'Category': 'Default', 'Rating': 'Three stars', 'Availability': 'In stock (18 available)'}"
Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,"{'Price': '£15.94', 'Category': 'Philosophy', 'Rating': 'Five stars', 'Availability': 'In stock (18 available)'}"
The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,"{'Price': '£36.89', 'Category': 'Childrens', 'Rating': 'One stars', 'Availability': 'In stock (18 available)'}"
The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,"{'Price': '£23.82', 'Category': 'Thriller', 'Rating': 'Five stars', 'Availability': 'In stock (18 available)'}"
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,"{'Price': '£31.05', 'Category': 'Nonfiction', 'Rating': 'Three stars', 'Availability': 'In stock (18 available)'}"
Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,"{'Price': '£47.61', 'Category': 'Fiction', 'Rating': 'Five stars', 'Availability': 'In stock (17 available)'}"
Untitled Collection: Sabbath Poems 2014,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,"{'Price': '£14.27', 'Category': 'Poetry', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Reasons to Stay Alive,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,"{'Price': '£26.41', 'Category': 'Nonfiction', 'Rating': 'Two stars', 'Availability': 'In stock (17 available)'}"
Slow States of Collapse: Poems,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,"{'Price': '£57.31', 'Category': 'Poetry', 'Rating': 'Three stars', 'Availability': 'In stock (17 available)'}"
"We Love You, Charlie Freeman",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,"{'Price': '£50.27', 'Category': 'Fiction', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
Without Borders (Wanderlove #1),https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,"{'Price': '£45.07', 'Category': 'New Adult', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
When We Collided,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,"{'Price': '£31.77', 'Category': 'Contemporary', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,"{'Price': '£23.11', 'Category': 'Nonfiction', 'Rating': 'Five stars', 'Availability': 'In stock (17 available)'}"
The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,"{'Price': '£56.50', 'Category': 'Mystery', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,"{'Price': '£56.41', 'Category': 'Food and Drink', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
The Natural History of Us (The Fine Art of Pretending #2),https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,"{'Price': '£45.22', 'Category': 'Young Adult', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
The Secret of Dreadwillow Carse,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,"{'Price': '£56.13', 'Category': 'Childrens', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
The Torch Is Passed: A Harding Family Story,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,"{'Price': '£19.09', 'Category': 'Add a comment', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,"{'Price': '£17.27', 'Category': 'Fiction', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,"{'Price': '£19.49', 'Category': 'Sequential Art', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Unicorn Tracks,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,"{'Price': '£18.78', 'Category': 'Fantasy', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,"{'Price': '£31.12', 'Category': 'Nonfiction', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,"{'Price': '£16.28', 'Category': 'Sequential Art', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,"{'Price': '£25.52', 'Category': 'History', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,"{'Price': '£44.18', 'Category': 'Nonfiction', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,"{'Price': '£20.59', 'Category': 'Default', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
The Gutsy Girl: Escapades for Your Life of Epic Adventure,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,"{'Price': '£37.13', 'Category': 'Nonfiction', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,"{'Price': '£16.77', 'Category': 'Nonfiction', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,"{'Price': '£42.96', 'Category': 'Science', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
The Murder That Never Was (Forensic Instincts #5),https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,"{'Price': '£54.11', 'Category': 'Fiction', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
The Nameless City (The Nameless City #1),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,"{'Price': '£38.16', 'Category': 'Sequential Art', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,"{'Price': '£23.89', 'Category': 'Add a comment', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,"{'Price': '£51.04', 'Category': 'Sequential Art', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
"Saga, Volume 6 (Saga (Collected Editions) #6)",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,"{'Price': '£25.02', 'Category': 'Fantasy', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Reskilling America: Learning to Labor in the Twenty-First Century,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,"{'Price': '£19.83', 'Category': 'Nonfiction', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,"{'Price': '£50.40', 'Category': 'Sequential Art', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,"{'Price': '£41.83', 'Category': 'Nonfiction', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Security,https://books.toscrape.com/catalogue/security_925/index.html,"{'Price': '£39.25', 'Category': 'Horror', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
Soul Reader,https://books.toscrape.com/catalogue/soul-reader_926/index.html,"{'Price': '£39.58', 'Category': 'Default', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
The Electric Pencil: Drawings from Inside State Hospital No. 3,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,"{'Price': '£56.06', 'Category': 'Nonfiction', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,"{'Price': '£19.73', 'Category': 'History', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
The Art Forger,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,"{'Price': '£40.76', 'Category': 'Add a comment', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,"{'Price': '£49.05', 'Category': 'Health', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
The Death of Humanity: and the Case for Life,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,"{'Price': '£58.11', 'Category': 'Philosophy', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,"{'Price': '£32.24', 'Category': 'Spirituality', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,"{'Price': '£15.44', 'Category': 'Sequential Art', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Princess Between Worlds (Wide-Awake Princess #5),https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,"{'Price': '£13.34', 'Category': 'Fantasy', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
Patience,https://books.toscrape.com/catalogue/patience_916/index.html,"{'Price': '£10.16', 'Category': 'Sequential Art', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,"{'Price': '£36.28', 'Category': 'History', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,"{'Price': '£13.61', 'Category': 'Sequential Art', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
"Pop Gun War, Volume 1: Gift",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,"{'Price': '£18.97', 'Category': 'Sequential Art', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
In the Country We Love: My Family Divided,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,"{'Price': '£22.00', 'Category': 'Nonfiction', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,"{'Price': '£19.92', 'Category': 'Sequential Art', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
Join,https://books.toscrape.com/catalogue/join_902/index.html,"{'Price': '£35.67', 'Category': 'Science Fiction', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
"Layered: Baking, Building, and Styling Spectacular Cakes",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,"{'Price': '£40.11', 'Category': 'Food and Drink', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,"{'Price': '£46.91', 'Category': 'Sequential Art', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,"{'Price': '£14.02', 'Category': 'Food and Drink', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,"{'Price': '£53.90', 'Category': 'Add a comment', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,"{'Price': '£45.61', 'Category': 'Sequential Art', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
My Paris Kitchen: Recipes and Stories,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,"{'Price': '£33.37', 'Category': 'Food and Drink', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
On a Midnight Clear,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,"{'Price': '£14.07', 'Category': 'Add a comment', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Masks and Shadows,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,"{'Price': '£56.40', 'Category': 'Fantasy', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
Online Marketing for Busy Authors: A Step-By-Step Guide,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,"{'Price': '£46.35', 'Category': 'Self Help', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
Obsidian (Lux #1),https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,"{'Price': '£14.86', 'Category': 'Young Adult', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
orange: The Complete Collection 1 (orange: The Complete Collection #1),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,"{'Price': '£48.41', 'Category': 'Sequential Art', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
Burning,https://books.toscrape.com/catalogue/burning_884/index.html,"{'Price': '£28.81', 'Category': 'Young Adult', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,"{'Price': '£29.14', 'Category': 'Nonfiction', 'Rating': 'Five stars', 'Availability': 'In stock (16 available)'}"
Crown of Midnight (Throne of Glass #2),https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,"{'Price': '£43.29', 'Category': 'Fantasy', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,"{'Price': '£51.99', 'Category': 'Sequential Art', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,"{'Price': '£37.97', 'Category': 'Religion', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,"{'Price': '£17.08', 'Category': 'Sequential Art', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
"Codename Baboushka, Volume 1: The Conclave of Death",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,"{'Price': '£36.72', 'Category': 'Sequential Art', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,"{'Price': '£54.35', 'Category': 'Nonfiction', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
Fifty Shades Darker (Fifty Shades #2),https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,"{'Price': '£21.96', 'Category': 'Romance', 'Rating': 'One stars', 'Availability': 'In stock (16 available)'}"
First and First (Five Boroughs #3),https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,"{'Price': '£15.97', 'Category': 'Romance', 'Rating': 'Four stars', 'Availability': 'In stock (16 available)'}"
Bossypants,https://books.toscrape.com/catalogue/bossypants_883/index.html,"{'Price': '£49.46', 'Category': 'Default', 'Rating': 'Two stars', 'Availability': 'In stock (16 available)'}"
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,"{'Price': '£29.69', 'Category': 'Historical Fiction', 'Rating': 'Three stars', 'Availability': 'In stock (16 available)'}"
